,Brand,Model,Variant,Year,Selling_Price,KM_Driven,Fuel,Transmission,Location
195,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
196,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
197,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
198,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
199,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,50,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
200,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
201,Audi,A6,-,2016," 26,50,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
202,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 2,95,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
203,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
204,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
205,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
206,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
207,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
208,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
209,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
210,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
211,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
212,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
213,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
214,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
215,Toyota,Innova Crysta,2.8Z Automatic,2016," 14,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
216,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
217,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
218,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
219,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
220,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
221,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
222,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
223,Toyota,Innova Crysta,2.8Z Automatic,2016," 13,50,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
224,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
225,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
226,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
227,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
228,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
229,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
230,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 2,85,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
231,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
232,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
233,Hyundai,Creta,1.6 SX Plus Auto,2017," 11,70,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
234,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
235,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
236,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
237,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
238,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
239,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,50,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
240,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
241,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
242,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
243,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
244,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
245,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
246,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
247,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
248,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
249,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
250,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
251,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
252,Hyundai,Santro Xing,GLS,2010," 1,75,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
253,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
254,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
255,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
256,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
257,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
258,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
259,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
260,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
261,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
262,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
263,Toyota,Innova Crysta,2.8Z Automatic,2016," 13,50,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
264,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
265,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,80,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
266,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
267,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
268,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
269,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
270,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 2,85,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
271,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
272,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
273,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
274,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
275,Honda,City,i-VTEC VX,2016," 6,75,000","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
276,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
277,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
278,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
279,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,50,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
280,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
281,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
282,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
283,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
284,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
285,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
286,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
287,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
288,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
289,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
290,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,25,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
291,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
292,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
293,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
294,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
295,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
296,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
297,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
298,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
299,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
300,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
301,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
302,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
303,Toyota,Innova Crysta,2.8Z Automatic,2016," 13,50,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
304,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
305,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
306,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
307,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
308,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
309,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
310,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 2,85,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
311,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
312,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
313,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
314,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
315,Honda,City,i-VTEC VX,2016," 6,75,000","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
316,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,74,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
317,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
318,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
319,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,50,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
320,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
321,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
322,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
323,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
324,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
325,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
326,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
327,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
328,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
329,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
330,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
331,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
332,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
333,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
334,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
335,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
336,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
337,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
338,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
339,Tata,Nano,2009-2011 Cx BSIV,2010," 75,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
340,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
341,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
342,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
343,Toyota,Innova Crysta,2.8Z Automatic,2016," 13,50,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
344,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
345,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
346,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
347,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
348,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
349,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
350,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 2,85,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
351,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
352,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
353,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
354,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
355,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
356,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
357,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
358,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
359,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,50,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
360,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
361,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
362,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
363,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
364,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
365,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
366,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
367,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
368,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
369,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
370,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
371,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
372,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
373,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
374,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
375,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
376,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
377,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
378,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
379,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
380,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
381,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
382,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
383,Toyota,Innova Crysta,2.8Z Automatic,2016," 13,50,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
384,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
385,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
386,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
387,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
388,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
